Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time,Comment
2025-12-04,Flat Barbell Bench Press,Chest,105.0,lbs,7,,,,"Almost had 8!! I was halfway there!! Have to bring bar higher towards my actual chest, otherwise I risk injury on shoulder"
2025-12-04,Flat Barbell Bench Press,Chest,105.0,lbs,4,,,,""
2025-12-04,Flat Barbell Bench Press,Chest,105.0,lbs,3,,,,""
2025-12-12,Flat Barbell Bench Press,Chest,105.0,lbs,9,,,,""
2025-12-12,Flat Barbell Bench Press,Chest,105.0,lbs,7,,,,""
2025-12-12,Flat Barbell Bench Press,Chest,105.0,lbs,5,,,,""
2025-12-12,Dumbbell Curl,Biceps,25.0,lbs,10,,,,""
2025-12-12,Dumbbell Curl,Biceps,25.0,lbs,8,,,,""
2025-12-12,Dumbbell Curl,Biceps,25.0,lbs,6,,,,""
2025-12-12,Overhead Press,Shoulders,35.0,lbs,7,,,,"After bench press and dumbbells curls, definitely fatigued"
2025-12-12,Overhead Press,Shoulders,35.0,lbs,5,,,,""
2025-12-12,Overhead Press,Shoulders,35.0,lbs,4,,,,""
2025-12-12,Lat Pulldown,Back,85.0,lbs,8,,,,"Forearms are definitely still a problem"
2025-12-12,Lat Pulldown,Back,85.0,lbs,6,,,,""
2025-12-12,Lat Pulldown,Back,85.0,lbs,5,,,,""
2025-12-12,Seated Cable Row,Back,90.0,lbs,7,,,,""
2025-12-12,Seated Cable Row,Back,90.0,lbs,5,,,,""
2025-12-12,Seated Cable Row,Back,90.0,lbs,5,,,,""
2025-12-12,Cable Overhead Triceps Extension,Triceps,35.0,lbs,8,,,,""
2025-12-12,Cable Overhead Triceps Extension,Triceps,35.0,lbs,5,,,,""
2025-12-12,Cable Overhead Triceps Extension,Triceps,25.0,lbs,3,,,,""
2025-12-12,Cable Overhead Triceps Extension,Triceps,15.0,lbs,5,,,,""
2025-12-12,Seated Chess Press,Chest,70.0,lbs,8,,,,"Holding for 5 seconds at peak of exercise to increase time under tension"
2025-12-12,Seated Chess Press,Chest,70.0,lbs,8,,,,""
2025-12-12,Seated Chess Press,Chest,70.0,lbs,7,,,,""
